policy,setting,tokens,critical_tokens,avg_exit_layer,compute_saved,disagreement_all,disagreement_critical,harm_weighted_disagreement,mean_excess_nll,critical_excess_nll,critical_rescue_rate_vs_entropy,disagreement_critical_ci95,harm_weighted_ci95
tokentriage-stable,"entropy=0.42,min=0.85",3783,341,6.364,0.7727,0.8726,0.0,0.6013,9.7732,0.549,1.0,0.0000-0.0000,0.5769-0.6268
tokentriage-kstable,"entropy=0.42,min=0.85,k=2",3783,341,6.186,0.7791,0.9337,0.6774,0.8498,9.9815,2.8591,0.3051,0.6328-0.7173,0.8310-0.8681
tokentriage-kstable,"entropy=0.42,min=0.85,k=3",3783,341,6.282,0.7756,0.9114,0.4311,0.7583,9.8901,1.8461,0.5589,0.3865-0.4737,0.7361-0.7805
tokentriage-kstable,"entropy=0.42,min=0.85,k=4",3783,341,6.333,0.7738,0.899,0.2933,0.7075,9.8304,1.1839,0.7009,0.2554-0.3344,0.6843-0.7323
entropy,threshold=0.55,3783,341,1.426,0.9491,0.9812,0.9736,0.9781,11.187,9.3779,,0.9564-0.9887,0.9699-0.9846
tokentriage-minlayer,"entropy=0.55,min=0.50",3783,341,2.588,0.9076,0.9823,0.9853,0.9828,10.9538,6.7911,0.0151,0.9694-1.0000,0.9764-0.9886
tokentriage-stable,"entropy=0.55,min=0.50",3783,341,3.697,0.868,0.8935,0.0,0.6157,10.3903,0.5395,1.0,0.0000-0.0000,0.5928-0.6420
tokentriage-kstable,"entropy=0.55,min=0.50,k=2",3783,341,2.637,0.9058,0.9826,0.9883,0.9841,10.9486,6.7332,0.012,0.9773-0.9973,0.9793-0.9893
tokentriage-kstable,"entropy=0.55,min=0.50,k=3",3783,341,2.736,0.9023,0.9791,0.9501,0.9693,10.9159,6.3708,0.0482,0.9307-0.9726,0.9617-0.9781
tokentriage-kstable,"entropy=0.55,min=0.50,k=4",3783,341,2.934,0.8952,0.9654,0.7977,0.9109,10.8201,5.3073,0.2018,0.7536-0.8457,0.8961-0.9297
tokentriage-minlayer,"entropy=0.55,min=0.65",3783,341,3.037,0.8915,0.9791,0.9501,0.9686,10.8656,5.8121,0.0482,0.9164-0.9718,0.9564-0.9768
tokentriage-stable,"entropy=0.55,min=0.65",3783,341,3.698,0.8679,0.8935,0.0,0.6157,10.39,0.5365,1.0,0.0000-0.0000,0.5928-0.6420
tokentriage-kstable,"entropy=0.55,min=0.65,k=2",3783,341,3.139,0.8879,0.9722,0.8739,0.9389,10.7899,4.9728,0.1205,0.8403-0.9078,0.9277-0.9513
tokentriage-kstable,"entropy=0.55,min=0.65,k=3",3783,341,3.269,0.8832,0.959,0.7273,0.8836,10.7125,4.1141,0.2681,0.6837-0.7775,0.8702-0.9019
