policy,setting,tokens,critical_tokens,avg_exit_layer,compute_saved,disagreement_all,disagreement_critical,harm_weighted_disagreement,mean_excess_nll,critical_excess_nll,critical_rescue_rate_vs_entropy,disagreement_critical_ci95,harm_weighted_ci95
tokentriage-kstable,"entropy=0.30,min=0.65,k=4",1942,150,10.787,0.6147,0.8368,0.4133,0.719,7.9984,3.4928,0.554,0.3333-0.4941,0.6781-0.7560
tokentriage-minlayer,"entropy=0.30,min=0.72",1942,150,10.568,0.6226,0.8749,0.9067,0.8835,8.1178,5.0396,0.0288,0.8582-0.9571,0.8664-0.8989
tokentriage-stable,"entropy=0.30,min=0.72",1942,150,10.965,0.6084,0.8048,0.0,0.5832,7.7687,0.5192,1.0,0.0000-0.0000,0.5464-0.6228
tokentriage-kstable,"entropy=0.30,min=0.72,k=2",1942,150,10.658,0.6194,0.8666,0.8,0.8486,8.0587,4.2734,0.1439,0.7279-0.8828,0.8196-0.8706
tokentriage-kstable,"entropy=0.30,min=0.72,k=3",1942,150,10.795,0.6145,0.8476,0.5533,0.7659,7.9613,3.0123,0.4173,0.4465-0.6371,0.7239-0.7970
tokentriage-kstable,"entropy=0.30,min=0.72,k=4",1942,150,10.878,0.6115,0.8311,0.34,0.6949,7.9017,2.241,0.6331,0.2584-0.4172,0.6484-0.7338
tokentriage-minlayer,"entropy=0.30,min=0.85",1942,150,10.761,0.6157,0.8656,0.7867,0.8433,8.0181,3.7487,0.1727,0.7022-0.8871,0.8111-0.8735
tokentriage-stable,"entropy=0.30,min=0.85",1942,150,10.974,0.6081,0.8048,0.0,0.5832,7.7656,0.4791,1.0,0.0000-0.0000,0.5464-0.6228
tokentriage-kstable,"entropy=0.30,min=0.85,k=2",1942,150,10.843,0.6127,0.8558,0.66,0.802,7.9648,3.0583,0.295,0.5660-0.7700,0.7617-0.8352
tokentriage-kstable,"entropy=0.30,min=0.85,k=3",1942,150,10.943,0.6092,0.8352,0.3933,0.7129,7.8567,1.6585,0.5827,0.3052-0.4636,0.6722-0.7416
tokentriage-kstable,"entropy=0.30,min=0.85,k=4",1942,150,11.012,0.6067,0.8172,0.16,0.6356,7.7894,0.7879,0.8273,0.1085-0.2083,0.6006-0.6648
entropy,threshold=0.42,1942,150,4.799,0.8286,0.948,0.98,0.9567,9.8326,10.797,,0.9592-1.0000,0.9487-0.9635
tokentriage-minlayer,"entropy=0.42,min=0.50",1942,150,5.637,0.7987,0.9449,0.94,0.9432,9.6217,8.0659,0.0408,0.8992-0.9709,0.9303-0.9539
tokentriage-stable,"entropy=0.42,min=0.50",1942,150,6.555,0.7659,0.8723,0.0,0.6321,9.0389,0.5213,1.0,0.0000-0.0000,0.5863-0.6759
tokentriage-kstable,"entropy=0.42,min=0.50,k=2",1942,150,5.731,0.7953,0.9434,0.92,0.9368,9.6071,7.8774,0.0612,0.8794-0.9568,0.9229-0.9475
tokentriage-kstable,"entropy=0.42,min=0.50,k=3",1942,150,5.867,0.7905,0.9351,0.8133,0.9014,9.529,6.8661,0.1701,0.7444-0.8797,0.8757-0.9248
tokentriage-kstable,"entropy=0.42,min=0.50,k=4",1942,150,6.015,0.7852,0.9222,0.6467,0.8457,9.4533,5.886,0.3401,0.5833-0.7154,0.8134-0.8757
tokentriage-minlayer,"entropy=0.42,min=0.65",1942,150,5.986,0.7862,0.9464,0.96,0.9501,9.5729,7.4346,0.0204,0.9316-0.9864,0.9396-0.9594
tokentriage-stable,"entropy=0.42,min=0.65",1942,150,6.555,0.7659,0.8723,0.0,0.6321,9.0389,0.5213,1.0,0.0000-0.0000,0.5863-0.6759
tokentriage-kstable,"entropy=0.42,min=0.65,k=2",1942,150,6.106,0.7819,0.9387,0.86,0.9171,9.4606,5.9801,0.1224,0.7849-0.9323,0.8914-0.9397
tokentriage-kstable,"entropy=0.42,min=0.65,k=3",1942,150,6.264,0.7763,0.9233,0.66,0.8502,9.3454,4.4887,0.3265,0.5630-0.7333,0.8125-0.8842
tokentriage-kstable,"entropy=0.42,min=0.65,k=4",1942,150,6.359,0.7729,0.9063,0.44,0.777,9.2817,3.6648,0.551,0.3571-0.5238,0.7378-0.8165
tokentriage-minlayer,"entropy=0.42,min=0.72",1942,150,6.128,0.7811,0.9454,0.9467,0.9457,9.404,5.2478,0.034,0.9115-0.9739,0.9339-0.9548
tokentriage-stable,"entropy=0.42,min=0.72",1942,150,6.556,0.7659,0.8723,0.0,0.6321,9.0395,0.529,1.0,0.0000-0.0000,0.5863-0.6759
tokentriage-kstable,"entropy=0.42,min=0.72,k=2",1942,150,6.23,0.7775,0.9351,0.8133,0.9016,9.3298,4.2869,0.1701,0.7440-0.9000,0.8717-0.9312
tokentriage-kstable,"entropy=0.42,min=0.72,k=3",1942,150,6.375,0.7723,0.9166,0.5733,0.8213,9.2377,3.0941,0.415,0.4688-0.6615,0.7779-0.8548
tokentriage-kstable,"entropy=0.42,min=0.72,k=4",1942,150,6.464,0.7691,0.8991,0.3467,0.746,9.1765,2.3026,0.6463,0.2644-0.4219,0.6988-0.7838
tokentriage-minlayer,"entropy=0.42,min=0.85",1942,150,6.35,0.7732,0.9336,0.7933,0.8944,9.2892,3.7615,0.1973,0.7222-0.8871,0.8588-0.9246
tokentriage-stable,"entropy=0.42,min=0.85",1942,150,6.564,0.7656,0.8723,0.0,0.6321,9.0364,0.4888,1.0,0.0000-0.0000,0.5863-0.6759
tokentriage-kstable,"entropy=0.42,min=0.85,k=2",1942,150,6.434,0.7702,0.9233,0.66,0.8509,9.2349,3.0583,0.3265,0.5660-0.7700,0.8057-0.8910
tokentriage-kstable,"entropy=0.42,min=0.85,k=3",1942,150,6.533,0.7667,0.9027,0.3933,0.7618,9.1268,1.6585,0.5986,0.3052-0.4636,0.7177-0.7921
tokentriage-kstable,"entropy=0.42,min=0.85,k=4",1942,150,6.602,0.7642,0.8847,0.16,0.6844,9.0595,0.7879,0.8367,0.1085-0.2083,0.6400-0.7185
entropy,threshold=0.55,1942,150,1.631,0.9418,0.983,1.0,0.9877,10.6055,11.5904,,1.0000-1.0000,0.9841-0.9912
tokentriage-minlayer,"entropy=0.55,min=0.50",1942,150,2.621,0.9064,0.9794,0.9533,0.9722,10.3545,8.3411,0.0467,0.9141-0.9829,0.9617-0.9816
tokentriage-stable,"entropy=0.55,min=0.50",1942,150,3.6,0.8714,0.9058,0.0,0.6563,9.7503,0.5186,1.0,0.0000-0.0000,0.6110-0.7035
tokentriage-kstable,"entropy=0.55,min=0.50,k=2",1942,150,2.711,0.9032,0.9794,0.9533,0.9724,10.3475,8.2505,0.0467,0.9173-0.9805,0.9620-0.9812
tokentriage-kstable,"entropy=0.55,min=0.50,k=3",1942,150,2.868,0.8976,0.9706,0.84,0.9344,10.2728,7.2833,0.16,0.7662-0.9014,0.9081-0.9556
tokentriage-kstable,"entropy=0.55,min=0.50,k=4",1942,150,3.036,0.8916,0.9578,0.6733,0.8786,10.1777,6.0525,0.3267,0.6061-0.7444,0.8451-0.9098
tokentriage-minlayer,"entropy=0.55,min=0.65",1942,150,3.007,0.8926,0.9804,0.9667,0.9768,10.2985,7.6164,0.0333,0.9343-0.9930,0.9667-0.9858
tokentriage-stable,"entropy=0.55,min=0.65",1942,150,3.6,0.8714,0.9058,0.0,0.6563,9.7503,0.5186,1.0,0.0000-0.0000,0.6110-0.7035
tokentriage-kstable,"entropy=0.55,min=0.65,k=2",1942,150,3.135,0.888,0.9732,0.8733,0.9458,10.1778,6.054,0.1267,0.8000-0.9400,0.9187-0.9712
tokentriage-kstable,"entropy=0.55,min=0.65,k=3",1942,150,3.298,0.8822,0.9578,0.6733,0.8787,10.0618,4.5521,0.3267,0.5714-0.7550,0.8390-0.9103
tokentriage-kstable,"entropy=0.55,min=0.65,k=4",1942,150,3.396,0.8787,0.9408,0.4533,0.8055,9.9969,3.711,0.5467,0.3648-0.5321,0.7638-0.8464
tokentriage-minlayer,"entropy=0.55,min=0.72",1942,150,3.162,0.8871,0.9799,0.96,0.9746,10.1237,5.3526,0.04,0.9281-0.9856,0.9637-0.9836
tokentriage-stable,"entropy=0.55,min=0.72",1942,150,3.601,0.8714,0.9058,0.0,0.6563,9.7509,0.5263,1.0,0.0000-0.0000,0.6110-0.7035
tokentriage-kstable,"entropy=0.55,min=0.72,k=2",1942,150,3.273,0.8831,0.9686,0.8133,0.9259,10.038,4.2429,0.1867,0.7440-0.9000,0.8959-0.9563
tokentriage-kstable,"entropy=0.55,min=0.72,k=3",1942,150,3.421,0.8778,0.9501,0.5733,0.8456,9.9492,3.0941,0.4267,0.4688-0.6615,0.8004-0.8820
tokentriage-kstable,"entropy=0.55,min=0.72,k=4",1942,150,3.51,0.8747,0.9325,0.3467,0.7703,9.8881,2.3026,0.6533,0.2644-0.4219,0.7195-0.8107
tokentriage-minlayer,"entropy=0.55,min=0.85",1942,150,3.393,0.8788,0.9676,0.8,0.9211,10.001,3.7643,0.2,0.7222-0.8910,0.8853-0.9526
tokentriage-stable,"entropy=0.55,min=0.85",1942,150,3.61,0.8711,0.9058,0.0,0.6563,9.7478,0.4861,1.0,0.0000-0.0000,0.6110-0.7035
tokentriage-kstable,"entropy=0.55,min=0.85,k=2",1942,150,3.48,0.8757,0.9567,0.66,0.8751,9.9465,3.0583,0.34,0.5660-0.7700,0.8303-0.9171
tokentriage-kstable,"entropy=0.55,min=0.85,k=3",1942,150,3.579,0.8722,0.9361,0.3933,0.7861,9.8383,1.6585,0.6067,0.3052-0.4636,0.7394-0.8209
tokentriage-kstable,"entropy=0.55,min=0.85,k=4",1942,150,3.648,0.8697,0.9181,0.16,0.7087,9.7711,0.7879,0.84,0.1085-0.2083,0.6638-0.7466
margin,threshold=0.05,1942,150,1.82,0.935,0.9918,1.0,0.994,10.3838,11.4194,,1.0000-1.0000,0.9918-0.9965
margin,threshold=0.10,1942,150,2.838,0.8986,0.9815,0.9933,0.9849,10.1238,10.8982,,0.9786-1.0000,0.9796-0.9896
margin,threshold=0.20,1942,150,5.617,0.7994,0.931,0.94,0.9339,9.5511,10.3581,,0.9018-0.9697,0.9187-0.9439
margin,threshold=0.35,1942,150,9.557,0.6587,0.8383,0.8667,0.846,8.3889,9.7753,,0.8289-0.9097,0.8242-0.8646
margin,threshold=0.50,1942,150,13.286,0.5255,0.7132,0.76,0.7262,7.208,8.6966,,0.7132-0.8067,0.7060-0.7443
