policy,setting,tokens,critical_tokens,avg_exit_layer,compute_saved,disagreement_all,disagreement_critical,harm_weighted_disagreement,mean_excess_nll,critical_excess_nll,critical_rescue_rate_vs_entropy,disagreement_critical_ci95,harm_weighted_ci95
tokentriage-kstable,"entropy=0.42,min=0.85,k=2",921,84,12.631,0.4737,0.6634,0.3929,0.5749,6.8719,1.5245,0.4844,0.3187-0.5000,0.5401-0.6317
tokentriage-kstable,"entropy=0.42,min=0.85,k=3",921,84,12.67,0.4721,0.6569,0.3214,0.5494,6.8286,1.0497,0.5781,0.2407-0.4348,0.5056-0.6074
tokentriage-kstable,"entropy=0.42,min=0.85,k=4",921,84,12.702,0.4707,0.6471,0.2143,0.5092,6.797,0.7026,0.7188,0.1287-0.3582,0.4510-0.5793
entropy,threshold=0.55,921,84,3.1,0.8708,0.9718,0.9643,0.969,10.6366,7.9378,,0.9265-1.0000,0.9507-0.9833
tokentriage-minlayer,"entropy=0.55,min=0.50",921,84,3.949,0.8355,0.9718,0.9643,0.969,10.6731,8.3385,0.0,0.9265-1.0000,0.9507-0.9833
tokentriage-stable,"entropy=0.55,min=0.50",921,84,4.909,0.7955,0.8838,0.0,0.6062,9.9724,0.6552,1.0,0.0000-0.0000,0.5626-0.6585
tokentriage-kstable,"entropy=0.55,min=0.50,k=2",921,84,4.065,0.8306,0.9718,0.9643,0.969,10.6127,7.6761,0.0,0.9265-1.0000,0.9507-0.9833
tokentriage-kstable,"entropy=0.55,min=0.50,k=3",921,84,4.34,0.8192,0.9555,0.7857,0.8995,10.3651,4.961,0.1852,0.7213-0.8571,0.8757-0.9286
tokentriage-kstable,"entropy=0.55,min=0.50,k=4",921,84,4.514,0.8119,0.9338,0.5476,0.8083,10.2118,3.2809,0.4321,0.4598-0.6324,0.7715-0.8458
tokentriage-minlayer,"entropy=0.55,min=0.65",921,84,4.288,0.8213,0.9718,0.9643,0.969,10.5123,6.5754,0.0,0.9265-1.0000,0.9507-0.9833
tokentriage-stable,"entropy=0.55,min=0.65",921,84,4.909,0.7955,0.8838,0.0,0.6062,9.9724,0.6552,1.0,0.0000-0.0000,0.5626-0.6585
tokentriage-kstable,"entropy=0.55,min=0.65,k=2",921,84,4.393,0.817,0.9674,0.9167,0.9503,10.3916,5.2516,0.0494,0.8718-0.9730,0.9313-0.9713
tokentriage-kstable,"entropy=0.55,min=0.65,k=3",921,84,4.571,0.8095,0.9479,0.7024,0.8682,10.2097,3.2571,0.2716,0.6163-0.7937,0.8389-0.9049
tokentriage-kstable,"entropy=0.55,min=0.65,k=4",921,84,4.686,0.8047,0.9283,0.4881,0.7857,10.1104,2.1687,0.4938,0.3690-0.6029,0.7411-0.8326
tokentriage-minlayer,"entropy=0.55,min=0.72",921,84,4.461,0.8141,0.9685,0.9286,0.9544,10.3294,4.5697,0.037,0.8736-0.9798,0.9313-0.9785
tokentriage-stable,"entropy=0.55,min=0.72",921,84,4.911,0.7954,0.8838,0.0,0.6062,9.9723,0.6547,1.0,0.0000-0.0000,0.5626-0.6585
tokentriage-kstable,"entropy=0.55,min=0.72,k=2",921,84,4.54,0.8108,0.9609,0.8452,0.9223,10.2526,3.7282,0.1235,0.7564-0.9293,0.8915-0.9560
tokentriage-kstable,"entropy=0.55,min=0.72,k=3",921,84,4.687,0.8047,0.9392,0.6071,0.8322,10.1191,2.2642,0.3704,0.5000-0.7143,0.7824-0.8784
tokentriage-kstable,"entropy=0.55,min=0.72,k=4",921,84,4.801,0.7999,0.9197,0.3929,0.7504,10.0227,1.2076,0.5926,0.2800-0.5281,0.6945-0.8146
tokentriage-minlayer,"entropy=0.55,min=0.85",921,84,4.729,0.803,0.9555,0.7857,0.8995,10.1291,2.3741,0.1852,0.6933-0.8539,0.8727-0.9246
tokentriage-stable,"entropy=0.55,min=0.85",921,84,4.933,0.7945,0.8838,0.0,0.6062,9.9563,0.4795,1.0,0.0000-0.0000,0.5626-0.6585
tokentriage-kstable,"entropy=0.55,min=0.85,k=2",921,84,4.825,0.799,0.9283,0.4881,0.7872,10.0468,1.4708,0.4938,0.4091-0.5735,0.7420-0.8371
tokentriage-kstable,"entropy=0.55,min=0.85,k=3",921,84,4.876,0.7968,0.9175,0.369,0.7438,9.9917,0.867,0.6173,0.2963-0.4921,0.6976-0.8138
tokentriage-kstable,"entropy=0.55,min=0.85,k=4",921,84,4.915,0.7952,0.9055,0.2381,0.6938,9.954,0.4535,0.7531,0.1574-0.3651,0.6342-0.7722
margin,threshold=0.05,921,84,2.564,0.8932,0.9978,1.0,0.9985,11.0095,8.6408,,1.0000-1.0000,0.9964-1.0000
margin,threshold=0.10,921,84,4.966,0.7931,0.962,0.9524,0.9581,10.5022,8.2554,,0.9080-1.0000,0.9340-0.9784
margin,threshold=0.20,921,84,9.183,0.6174,0.8154,0.8929,0.8378,8.9139,7.3778,,0.8088-0.9709,0.8033-0.8720
margin,threshold=0.35,921,84,14.347,0.4022,0.5689,0.6786,0.6004,6.3243,5.776,,0.5946-0.7558,0.5570-0.6357
margin,threshold=0.50,921,84,17.128,0.2863,0.3865,0.3929,0.3884,4.5451,4.2225,,0.2787-0.4653,0.3431-0.4200
